#Photon energy	Wavelength	ep1	ep2	n	k
#eV	m				
4.859e-01	2.552e-06	-3.249e+02	3.273e+01	9.069e-01	1.805e+01
4.840e-01	2.562e-06	-3.275e+02	3.312e+01	9.139e-01	1.812e+01
4.821e-01	2.572e-06	-3.301e+02	3.351e+01	9.210e-01	1.819e+01
4.802e-01	2.582e-06	-3.327e+02	3.391e+01	9.282e-01	1.826e+01
4.782e-01	2.593e-06	-3.354e+02	3.431e+01	9.355e-01	1.834e+01
4.763e-01	2.603e-06	-3.381e+02	3.472e+01	9.428e-01	1.841e+01
4.744e-01	2.613e-06	-3.408e+02	3.514e+01	9.503e-01	1.849e+01
4.725e-01	2.624e-06	-3.436e+02	3.556e+01	9.578e-01	1.856e+01
4.706e-01	2.635e-06	-3.464e+02	3.599e+01	9.655e-01	1.864e+01
4.687e-01	2.645e-06	-3.493e+02	3.642e+01	9.732e-01	1.871e+01
4.668e-01	2.656e-06	-3.521e+02	3.687e+01	9.810e-01	1.879e+01
4.649e-01	2.667e-06	-3.550e+02	3.732e+01	9.889e-01	1.887e+01
4.629e-01	2.678e-06	-3.580e+02	3.778e+01	9.969e-01	1.895e+01
4.610e-01	2.689e-06	-3.609e+02	3.824e+01	1.005e+00	1.903e+01
4.591e-01	2.701e-06	-3.640e+02	3.871e+01	1.013e+00	1.910e+01
4.572e-01	2.712e-06	-3.670e+02	3.920e+01	1.022e+00	1.918e+01
4.553e-01	2.723e-06	-3.701e+02	3.968e+01	1.030e+00	1.927e+01
4.534e-01	2.735e-06	-3.732e+02	4.018e+01	1.038e+00	1.935e+01
4.515e-01	2.746e-06	-3.764e+02	4.069e+01	1.047e+00	1.943e+01
4.496e-01	2.758e-06	-3.796e+02	4.120e+01	1.056e+00	1.951e+01
4.476e-01	2.770e-06	-3.828e+02	4.172e+01	1.065e+00	1.960e+01
4.457e-01	2.782e-06	-3.861e+02	4.225e+01	1.074e+00	1.968e+01
4.438e-01	2.794e-06	-3.895e+02	4.279e+01	1.083e+00	1.976e+01
4.419e-01	2.806e-06	-3.928e+02	4.334e+01	1.092e+00	1.985e+01
